,Number of 3-gons,Number of 4-gons,Number of 5-gons,Number of 6-gons,Number of 7-gons,Number of 8-gons,Number of 9-gons,Number of 10-gons,Number of 11-gons,Number of 12-gons,Eberhard_Validation,Satisfies_Theorem
0,4,0,0,0,0,0,0,0,0,0,12,True
1,2,3,0,0,0,0,0,0,0,0,12,True
2,0,6,0,0,0,0,0,0,0,0,12,True
3,0,0,12,0,0,0,0,0,0,0,12,True
4,3,1,2,1,1,0,0,0,0,0,12,True
5,8,0,0,0,0,6,0,0,0,0,12,True
6,0,6,0,8,0,0,0,0,0,0,12,True
7,6,0,0,2,0,3,0,0,0,0,12,True
8,4,0,0,4,0,0,0,0,0,0,12,True
9,0,4,4,0,0,0,0,0,0,0,12,True
10,0,8,3,1,2,0,0,0,1,0,12,True
11,0,7,3,2,1,0,0,1,0,0,12,True
12,3,0,3,1,0,0,0,0,0,0,12,True
13,0,0,12,2,0,0,0,0,0,0,12,True
14,0,0,12,3,0,0,0,0,0,0,12,True
15,0,0,12,4,0,0,0,0,0,0,12,True
16,0,0,12,4,0,0,0,0,0,0,12,True
17,0,0,12,5,0,0,0,0,0,0,12,True
18,0,0,12,5,0,0,0,0,0,0,12,True
19,0,6,0,2,0,0,0,0,0,0,12,True
20,0,3,6,0,0,0,0,0,0,0,12,True
21,2,2,2,0,0,0,0,0,0,0,12,True
22,2,0,6,0,0,0,0,0,0,0,12,True
23,0,5,2,0,0,0,0,0,0,0,12,True
24,0,7,0,0,2,0,0,0,0,0,12,True
25,0,8,0,0,0,2,0,0,0,0,12,True
26,0,9,0,0,0,0,2,0,0,0,12,True
27,0,10,0,0,0,0,0,2,0,0,12,True
28,0,11,0,0,0,0,0,0,2,0,12,True
29,0,12,0,0,0,0,0,0,0,2,12,True
30,0,13,0,0,0,0,0,0,0,0,26,False
31,0,14,0,0,0,0,0,0,0,0,28,False
32,0,15,0,0,0,0,0,0,0,0,30,False
33,2,2,2,1,0,0,0,0,0,0,12,True
34,2,3,0,2,0,0,0,0,0,0,12,True
35,3,1,1,3,0,0,0,0,0,0,12,True
36,2,2,2,2,0,0,0,0,0,0,12,True
37,2,2,3,0,1,0,0,0,0,0,12,True
38,2,3,1,1,1,0,0,0,0,0,12,True
39,2,4,0,0,2,0,0,0,0,0,12,True
40,4,0,2,1,2,0,0,0,0,0,12,True
41,5,0,2,0,3,1,0,0,0,0,12,True
42,5,0,2,1,1,2,0,0,0,0,12,True
43,5,0,2,2,0,1,1,0,0,0,12,True
44,3,2,3,0,1,0,1,0,0,0,12,True
45,2,2,5,0,0,0,1,0,0,0,12,True
46,2,2,4,0,2,0,0,0,0,0,12,True
47,3,1,3,0,2,0,0,0,0,0,12,True
48,3,2,1,2,0,1,0,0,0,0,12,True
49,3,2,1,2,0,1,0,0,0,0,12,True
50,2,1,4,1,0,0,0,0,0,0,12,True
51,3,0,3,3,0,0,0,0,0,0,12,True
52,7,0,2,6,0,0,0,0,1,1,12,True
53,5,0,2,4,0,1,1,0,0,0,12,True
54,0,0,14,0,2,0,0,0,0,0,12,True
55,0,1,10,4,0,0,0,0,0,0,12,True
56,0,6,2,2,0,1,0,0,0,0,12,True
57,0,5,2,2,0,0,0,0,0,0,12,True
58,0,6,0,3,0,0,0,0,0,0,12,True
59,0,5,11,0,2,2,1,0,0,0,12,True
60,0,1,20,0,0,0,0,0,2,0,12,True
61,0,0,20,2,0,0,1,0,1,0,12,True
62,0,30,0,20,0,0,0,12,0,0,12,True
63,0,12,0,8,0,6,0,0,0,0,12,True
64,0,1,18,0,0,4,0,0,0,0,12,True
65,0,0,18,3,0,3,0,0,0,0,12,True
66,0,0,21,0,0,3,1,0,0,0,12,True
67,40,0,0,0,0,0,6,15,0,0,42,False
68,0,1,34,0,4,10,0,0,0,0,12,True
69,20,0,0,0,0,0,0,12,0,0,12,True
70,0,0,12,20,0,0,0,0,0,0,12,True
71,0,6,15,0,0,0,1,3,0,0,12,True
72,0,12,27,0,3,0,0,0,0,0,48,False
73,0,0,36,0,0,0,2,0,0,3,12,True
74,0,0,29,0,3,2,0,0,2,0,12,True
75,0,0,29,0,3,2,0,0,2,0,12,True
76,0,0,29,0,3,2,0,0,2,0,12,True
77,0,0,31,0,3,3,0,0,2,0,12,True
78,0,0,30,0,3,5,0,0,1,0,12,True
79,0,0,30,0,2,6,0,1,0,0,12,True
80,0,0,29,0,3,7,0,0,0,0,12,True
81,0,0,30,0,3,5,0,0,1,0,12,True
82,0,0,29,0,3,7,0,0,0,0,12,True
83,0,0,29,0,3,7,0,0,0,0,12,True
